English,Kana,Kanji,Help Text,Source,Section
I,わたし,私,,UDEMY_N5,1
You,あなた,,,UDEMY_N5,1
Mr. / Ms.,さん,,It is the suffix added to a person's name to show politeness,UDEMY_N5,1
Japan,にほん,日本,,UDEMY_N5,1
China,ちゅうごく,中国,,UDEMY_N5,1
Korea,かんこく,韓国,,UDEMY_N5,1
America / USA,アメリカ,,,UDEMY_N5,1
India,インド,,,UDEMY_N5,1
Germany,ドイツ,,,UDEMY_N5,1
University,だいがく,大学,,UDEMY_N5,1
High School,こうこう,高校,,UDEMY_N5,1
School,がっこう,学校,,UDEMY_N5,1
Teacher,せんせい,先生,,UDEMY_N5,1
Student,がくせい,学生,,UDEMY_N5,1
Name,なまえ,名前,,UDEMY_N5,1
that person,あのかた,あの方,,UDEMY_N5,1
from,から,,,UDEMY_N5,1
to come,くる,来る,,UDEMY_N5,1
to go,いく,行く,,UDEMY_N5,1
who,どなた,,A polite way,UDEMY_N5,1
friend,ともだち,友達,,UDEMY_N5,1
doctor,いしゃ,医者,,UDEMY_N5,1
engineer,エンジニア,,,UDEMY_N5,1
Company Employee,かいしゃいん / サラリーマン,会社員,,UDEMY_N5,1
delicious,おいしい,美味しい,,UDEMY_N5,1
big,おおきい,大きい,,UDEMY_N5,1
country / nation,くに,国,,UDEMY_N5,1
language,ご,語,suffix,UDEMY_N5,1
a country's people,じん,人,suffix,UDEMY_N5,1
coffee,コーヒー ,,,UDEMY_N5,1
hot,あつい,熱い,,UDEMY_N5,1
cold,さむい,寒い,,UDEMY_N5,1
belonging to / of / 's,の,,A particle,UDEMY_N5,1
book,ほん,本,,UDEMY_N5,1
car,くるま,車,,UDEMY_N5,1
Yamada,やまだ,山田,Japanese Surname,UDEMY_N5,1
Sato,さとう,佐藤 ,Japanese Surname,UDEMY_N5,1
Suzuki,すずき,鈴木,Japanese Surname,UDEMY_N5,1
classroom,きょうしつ,教室,,UDEMY_N5,1
Hello!,こんにちは。,,,UDEMY_N5,1
"First time meeting you, how do you do?",はじめまして。,,,UDEMY_N5,1
Nice to meet you.,どうぞよろしく おねがいします。/ よろしく おねがいします,,,UDEMY_N5,1
How do you do? My name is Ando. I am Japanese. Nice to meet you.,はじめまして、あんどうです。 わたしは にほんじんです。よろしく おねがいします。,,,UDEMY_N5,1
How do you do? My name is Wang. Nice to meet you.,はじめまして、 ワンです。 よろしく おねがいします。,,,UDEMY_N5,1
"Wang, right? Are you Chinese?",ワンさん ですね。 ちゅうごくじんですか。,,,UDEMY_N5,1
"Yes, I am Chinese.",はい、 わたしは ちゅうごくじんです,,,UDEMY_N5,1
She is Miss Kim. She is a university teacher.,キムさん です。 だいがくの せんせい です。,,,UDEMY_N5,1
Is Miss Kim also Chinese?,キムさんも ちゅうごくじん ですか。,,,UDEMY_N5,1
How do you do? My name is Kim. I came from Korea. Nice to meet you.,"はじめまして、 キムです。 かんこくから きました。よろしく おねがいします。",,,UDEMY_N5,1
I understood. / I knew it.,わかりました。,,,UDEMY_N5,1
Who is that person?,あのかたは どなたですか。,,a polite way to ask,UDEMY_N5,1
I see.,そうですか。,,,UDEMY_N5,1
I am Japanese.,わたしは にほんじんです。,,,UDEMY_N5,1
Miss Wang is a student.,ワンさんは がくせいです。,,,UDEMY_N5,1
I am an Indian student,わたしは インドの がくせいです。,,,UDEMY_N5,1
