English,Kana,Kanji,Help Text,Type,Source,Section
I,わたし,私,,Vocabulary,UDEMY_N5,1
You,あなた,,,Vocabulary,UDEMY_N5,1
Mr. / Ms.,さん,,It is the suffix added to a person's name to show politeness,Vocabulary,UDEMY_N5,1
Japan,にほん,日本,,Vocabulary,UDEMY_N5,1
China,ちゅうごく,中国,,Vocabulary,UDEMY_N5,1
Korea,かんこく,韓国,,Vocabulary,UDEMY_N5,1
America / USA,アメリカ,,,Vocabulary,UDEMY_N5,1
India,インド,,,Vocabulary,UDEMY_N5,1
Germany,ドイツ,,,Vocabulary,UDEMY_N5,1
University,だいがく,大学,,Vocabulary,UDEMY_N5,1
High School,こうこう,高校,,Vocabulary,UDEMY_N5,1
School,がっこう,学校,,Vocabulary,UDEMY_N5,1
Teacher,せんせい,先生,,Vocabulary,UDEMY_N5,1
Student,がくせい,学生,,Vocabulary,UDEMY_N5,1
Name,なまえ,名前,,Vocabulary,UDEMY_N5,1
that person,あのかた,あの方,,Vocabulary,UDEMY_N5,1
from,から,,,Vocabulary,UDEMY_N5,1
to come,くる,来る,,Vocabulary,UDEMY_N5,1
to go,いく,行く,,Vocabulary,UDEMY_N5,1
who,どなた,,A polite way,Vocabulary,UDEMY_N5,1
friend,ともだち,友達,,Vocabulary,UDEMY_N5,1
doctor,いしゃ,医者,,Vocabulary,UDEMY_N5,1
engineer,エンジニア,,,Vocabulary,UDEMY_N5,1
Company Employee,かいしゃいん / サラリーマン,会社員,,Vocabulary,UDEMY_N5,1
delicious,おいしい,美味しい,,Vocabulary,UDEMY_N5,1
big,おおきい,大きい,,Vocabulary,UDEMY_N5,1
country / nation,くに,国,,Vocabulary,UDEMY_N5,1
language,ご,語,suffix,Vocabulary,UDEMY_N5,1
a country's people,じん,人,suffix,Vocabulary,UDEMY_N5,1
coffee,コーヒー ,,,Vocabulary,UDEMY_N5,1
hot,あつい,熱い,,Vocabulary,UDEMY_N5,1
cold,さむい,寒い,,Vocabulary,UDEMY_N5,1
belonging to / of / 's,の,,A particle,Vocabulary,UDEMY_N5,1
book,ほん,本,,Vocabulary,UDEMY_N5,1
car,くるま,車,,Vocabulary,UDEMY_N5,1
Yamada,やまだ,山田,Japanese Surname,Vocabulary,UDEMY_N5,1
Sato,さとう,佐藤 ,Japanese Surname,Vocabulary,UDEMY_N5,1
Suzuki,すずき,鈴木,Japanese Surname,Vocabulary,UDEMY_N5,1
classroom,きょうしつ,教室,,Vocabulary,UDEMY_N5,1
Hello!,こんにちは。,,,Phrase,UDEMY_N5,1
"First time meeting you, how do you do?",はじめまして。,,,Phrase,UDEMY_N5,1
Nice to meet you.,どうぞよろしく おねがいします。/ よろしく おねがいします,,,Phrase,UDEMY_N5,1
How do you do? My name is Ando. I am Japanese. Nice to meet you.,はじめまして、あんどうです。 わたしは にほんじんです。よろしく おねがいします。,,,Phrase,UDEMY_N5,1
How do you do? My name is Wang. Nice to meet you.,はじめまして、 ワンです。 よろしく おねがいします。,,,Phrase,UDEMY_N5,1
"Wang, right? Are you Chinese?",ワンさん ですね。 ちゅうごくじんですか。,,,Phrase,UDEMY_N5,1
"Yes, I am Chinese.",はい、 わたしは ちゅうごくじんです,,,Phrase,UDEMY_N5,1
She is Miss Kim. She is a university teacher.,キムさん です。 だいがくの せんせい です。,,,Phrase,UDEMY_N5,1
Is Miss Kim also Chinese?,キムさんも ちゅうごくじん ですか。,,,Phrase,UDEMY_N5,1
